reviewcontent,score,sentiment
"I'm very unhappy with the service that I received from sales representatives Samantha Thrush @ TRESL. Sales rep. Samantha dragged her feet with the sale and promised that I would not be charged any rental fees for her lack of response to my multiple phone calls. The company AVIS Rental charged me over $2400.00 for rental car fees, even though I committed to purchasing the vehicle. This $2400.00 charge caused my checking account to become overdrawn, which the manager said, ""they were NOT responsible for"".  I WOULDN'T SUGGEST THAT ANYONE PURCHASE A VEHICLE THROUGH TRESL! DON'T BUY FROM THIS COMPANY!!",0,Negative
Anthony Tumminello Was amazing he was very informative and answered all my questions and concerns. Good addition to your company as a Manager,1,Positive
"Mr. Robert G. has made this experience the BEST!!! He was very polite, honest, and trustworthy! The best thing I loved about Mr. Garza was that he always followed up! He made this refinancing process so easy and smooth! Please request him, you will not regret it!   Thanks soooo much!!!",1,Positive
I am giving you 5 stars because Darla and Tresl made it fast and easy to refinance my vehicle.  I will definitely recommend my family and friends to use Tresl.  They are good!!!,1,Positive
Not enough communication to closing.. also you should create a turn time of review and funding to relay to your clients so they are not just sitting wondering what is next,1,Positive
Quick and easy process and didn't run my credit 50 times like most do..,1,Positive
Great customer service! If I had any questions or needed any help with my whole process my agent was so helpful and always there when needed. No inconveniences and easy process.,1,Positive
Great Customer Service. Mark was always there.,1,Positive
Kevin was so incredibly kinda and patient helping me through a purchase during tough times. I genuinely wouldn’t have wanted anyone to assist me other than him.,1,Positive
"Mark was so helpful, honest and very knowledgeable! We will definitely go through you again for our other car!  Thanks again!!",1,Positive
I needed to get my car refinanced. I had a real high interest rate . It has been a process a lot  easier than I thought. Tresl helped me get approved with a lower APR rate. That will save me alot of money. I’m very pleased.,1,Positive
They did an amazing job of refinancing my auto loan. They were very helpful and gave me assistance whenever I needed it.,1,Positive
"K.C. Was awesome!  She walked me through the entire process and it was faster than expected.  Also, cut my interest rate in half!",1,Positive
Jeff was great!,1,Positive
I received wildly different information initially on your website than I did once I hit submit. It's BS and a waste of time!,0,Negative
"It went quick, not too much back and forth unless on me. Lee was great! Thanks",1,Positive
This experience  was awsome easy fast no bs and for my first refinance went very smoothly..,1,Positive
very good and easy,1,Positive
"I used Tresl for financing my car. They automatically assumed that I would want GAP insurance and when I had stated I would not that included in my plan, the financial advisor made an inappropriate backhanded comment about me having “disposable income”. The communication was horrible. When I had mentioned the lack of communication after many attempts of trying to reach my financial advisor she became defensive and disrespectful. And after a week after requesting all documents and me sending them in she mentions to me that I needed to submit something else. I assumed after she told me I submitted something successfully the week prior and everything was fine, but it was clear to me she didn’t thoroughly go through my documents. This is turn slowed down the process. After realizing that she did not have my best interest at heart I requested a new financial advisor. His communication was much better, but I never got a call back stating that my lender approved everything. After contacting the lender on my own, I was able to see that I was approved for the loan. I have never written a review for anything in my life, but I was so appalled and the disservice and unprofessional attitude of my original advisor, considering people are potentially spending thousands of dollars.",0,Negative
A good company. The only complaint is it takes awhile for someone to get back with you.,1,Positive
"Rob did an outstanding job in assisting me in refinancing my car with ease and integrity.  He always called me right back, answered my questions, and made this a smooth easy great transaction.  Highly recommend Rob to anyone seeking to save money on refinancing their car",1,Positive
Thanks a lot for all the help.,1,Positive
Very quick responses and helpful getting info needed for approval.,1,Positive
Worked for me just fine. Peace of cake. Im happy with the results.,1,Positive
"Very professional, direct and nice",1,Positive
"I went through Tresl to purchase a used car. The rep., Kevin Lazar, was very knowledgeable and always called me back quickly. I asked him a wide variety of questions, not having any experience in buying a car and he always had a good and informative answer. I was able to apply for financing over the phone and get insurance quotes from contacts he provided. Because of the pandemic everything too longer than normally but Kevin and Tresl were always there to facilitate the transaction. Would recommend highly.",1,Positive
"Great help, kept me updated and up to speed ! Smooth process",1,Positive
"The process was easy and simple, and my advisor was professional.  Lee made sure all my questions were answered and he returned all my phone calls.",1,Positive
"I was very happy with the service I received.  The Finance Advisor was friendly, efficient, and guided me through the process of purchasing my company vehicle without any problems or concerns.  Most of all I trusted my advisor.  Each step of the process occurred just the way she explained it.",1,Positive
Easy process to purchase the vehicle. Staff was more helpful to complete the process smoothly,1,Positive
"Answered all questions, very nice and professional.",1,Positive
"Simply amazing company and employees. From start to finish Jason from Tresl was informative helpful and hard working. Walked me through everything through emails, texts, and one to one phone calls. I would highly recommend working with this company and more specifically ask for Jason awesome guy. Thank you to everyone that played a hand in getting me the help I needed.",1,Positive
I worked with Terrence he was amazing. He work for about a week after I put my application in and dropped my truck payment $141.90 a month and dropped my interest rate 9%. He was great to work with he followed through with everything he told me and answered every email I sent him within the hour of me send it. I highly recommend Mytresl.,1,Positive
Process was very easy.,1,Positive
Awesome customer service and quick response times.,1,Positive
"Jason M was very helpful throughout the entire process, was quick to return calls or respond to emails, very professional and a pleasure to work with.",1,Positive
Thank you for providing my husband and I with outstanding customer service. The lease buyout on our 2018 Chevy was a seamless transaction.,1,Positive
Extremely pleased with the handling of my auto lease buyout! Highly recommend!,1,Positive
Steve got me right together!,1,Positive
"Awesome company, tried a few lenders. Awesome customer service. Saving money on auto refinance and didn’t add any payments.",1,Positive
"Great experience with Terrence, Kelsie and Whitney!  The steps were easy and moved at a very smooth pace.  I’d definitely recommend using TRESL if you’re looking to refinance your auto.  I’ll definitely be back in the future.",1,Positive
I am very pleased with the service and end product.  I purchased my new vehicle a year ago at a time where I had no credit.  I paid an extremely high interest rate knowing I had to read-establish.  After 1 year of on time payments They were able to get me refinanced at a 10% deduction to my interest rate reducing my monthly payment by $120.,1,Positive
"I was nervous because I had never refinanced a car, but overall the whole process was smooth one. I would recommend!",1,Positive
"Eric H was fantastic! Walking me through the process, finding my options...but also seems like a genuinely nice guy! And who doesn't appreciate that?!",1,Positive
"Working with Tresl was a great experience, my contact person was responsive, available, and helpful. I was pleased with the expedite and professional service!",1,Positive
Good company so far they just need a lil of bit of customer service.,1,Positive
"Many thanks to KEVIN LAZAR for his assistance through the process of re-financing my vehicle.  I had one hiccup of not getting some documents that were initially sent by someone else but Kevin immediately corrected that as soon as he was made aware of the delay!  Thanks again, Kevin!",1,Positive
Overall good service,1,Positive
This Company helped me out a lot and I thank them their Employee Jeff Was a big help and stayed true to his word!,1,Positive
"The rep I worked with was great!  He was professional, courteous, and proactive in helping answer questions and moving things forward.  The only reason I didn’t give 5 stars is that the actual interest rate was nearly around .75% higher than the original quote.  I expected some sort of fee, however when you add the $300 fee to the interest rate to calc your APR, the effective rate wasn’t much lower than what I’m already paying.  Plus the APR was not initially disclosed when I first received a summary of the actual interest rate.  All this said, they are easy to work with and provide great service.  However, I don’t feel like the time was worth the savings for me and there may have been a similar or lower rate locally. I just didn’t have the time to check around.  So if you need a company to assist you with refinancing your auto loan, they are good and you’ll likely get a better rate. But if you have time to do your own research first, do it.  At the very least you may have greater appreciation for the service that Tresl provides.  Thanks",1,Positive
Everyone at tresl was helpful and answered my questions. The process was simple and they provided information about everything that was required to complete my auto refinance. I would recommend them.,1,Positive
"Easy, Quick, and Professional.  I will definitely recommend Tresl to Co-Workers, Friends, and Family.  Great Job!!  Thank you!",1,Positive
My advisor was very nice and helpful through The Whole process. I felt like I didn’t have to do anything but sign forms and relax.,1,Positive
"Great process , my account manager was fast and super responsive my loan documents were sent quickly and I was able to get my loan completed and funded in less than 2 1/2 weeks. Excellent experience!!",1,Positive
Jorge Benavides was a great help in getting me the best price for an auto loan. He answered every single one of my questions and concerns! People like himself deserve the compensation for a job well done.,1,Positive
Easy process and very helpful staff. Made buying my lease very easy,1,Positive
Great awesome company,1,Positive
This loan application was very easy to navigate and the overall experience was awesome,1,Positive
The whole process was really easy and K.C. Was a pleasure to work with.,1,Positive
Very smooth process!  You went out of your way to help me when I forgot to sign one of the pages.  Thank you!,1,Positive
Staff very friendly  Process was simple and quick . Thank u,1,Positive
"This was easy, Miriam was helpful. She followed up, was understanding and extremely courteous. She made every efforts to help the transaction from inception to completion. She would recognize when I took missteps or  I failed to take the follow up steps necessary to move forward.",1,Positive
"GREAT CUSTOMER SERVICE QUICK AND EASY PROCESS EVERYHTING I NEEDED WAS SEND TO US VIA EMAIL. THERE WERE NO TIME LAPSE EXCEPT FOR THE FUNDING PROCESS WHICH WAS ALSO FAST.  THANK YOU,  YOU GUYS ARE AWESOME.",1,Positive
Great service and follow-up,1,Positive
I contacted Tresl because it was recommended through CreditKarma. The company is great and they get all of your information sent out quickly.,1,Positive
"I’m super happy with the outcome of my refinance everting went smooth and easy a continue communication with the person helping me with the process ,",1,Positive
"Thank you very much Jonathan, everything very simple.",1,Positive
Informative and personal. Listened to my wants and needs and followed through.Was timely on getting ahold of me when I had questions.,1,Positive
Easy to contact and quick to respond. Very helpful and made the process simple.,1,Positive
Great customer service. Was able to get my car refinanced when no other company would! Thanks tresl!,1,Positive
Terrence Blue was excellent to work with and the process for handling this transaction was easy on the customer. Thanks!,1,Positive
Everyone that we worked with at Tresl was absolutely the best!  I will definitely be recommending them to friends and family.,1,Positive
Took a little learning to buy a car remotely! Customer service and financial staff did a great job walking us through the process. Really quite simple and easy.,1,Positive
Thank you so much for helping us with our Jeep Loan - great job and fast too!,1,Positive
Great options Customer Service Thorough process,1,Positive
"Kim Winner was outstanding. She guided me through the process and made it seamless on my end. Her customer service was excellent. She returned calls quickly, educated me on my options and answered my many questions patiently.",1,Positive
"The agent was very helpful. It was easy for me to reach out to them, if I had any questions or concerns.",1,Positive
Great and simple experience,1,Positive
AWESOME INDEED,1,Positive
"Sara Edwards is the best. The whole process from application to funding was about 2 weeks - only because I had to get some documents notarized and mail them back. It was painless and seamless. She kept me informed from beginning to end. The overall refinance saved me over $5,500 by lowering my interest rate by 6 points and by reducing the terms of my loan from 36 months to 24 months. Wish I would have contacted Tresl earlier. Great experience.",1,Positive
"They screwed up my loan paperwork and now can’t reach my agent, emailed support and not a word back! Horrible customer service!",0,Negative
Steve has been great. Very smooth process. Highly recommend!!,1,Positive
"Straight forward, fast, and convenient. Aimee was great! Would definitely recommend to family and friends.",1,Positive
Mark provided helpful and responsive guidance while working through the process.  Tresl has made what is in effect the re-purchase of a vehicle as streamlined as possible and I would recommend employing their services to anyone considering refinancing.,1,Positive
Steve was wonderful throughout the whole process,1,Positive
Very smooth thanks,1,Positive
They took care of me and helped me out a lot. Dropped my apr 4% saves me a lot in the long run. Thank you guys,1,Positive
Don Dalton was an excellent advisor thruout our recent dealings with TRESL . KNOWLEDGEABLE ATTENTIVE CORDIAL and COURTEOUS COMPLETE Please extend our appreiation to Don Thank You! dr,1,Positive
"My overall experience was good. There was a delay in getting my financing processed due to some technical issues from the company, which I understand is sometimes beyond our control. However, the daily communications helped to eliminate any frustration throughout the process.",1,Positive
Excellent job. Paperwork did take longer then expected but the rate I got and the price made up for it. Thanks.,1,Positive
Miriam was great my interest rate was cut in half I highly recommend!!,1,Positive
Lee was awesome. He stayed in touch with me through the entire process. He answered all my questions about the process and he reached out to let me know my refinance loan was funded. He is a wonderful representative of your company. I would definitely recommend Tresl to others seeking to refinance their vehicles.,1,Positive
Got better than expected results. Communication throughout the entire process and all my questions were answered in a timely if not quick fashion. Would definitely recommend,1,Positive
Very helpful nice people,1,Positive
Very good service!,1,Positive
K. Lazar was a great advisor! If you plan on refinancing I’d highly recommend him and Tresl!,1,Positive
Kevin was extremely helpful. I really appreciate what he did for me.,1,Positive
I work out of town a lot and they were very patient with me while I tried to get everything in line. Communicated well with me and if I didn't understand something she explained it and made it quite clear.,1,Positive
Juan Cajigas helped my refi to move smoothly and patiently directed me to cure some errors on my part. I highly recommend them,1,Positive
"I was stressing out and wasn't sure if this was the right route to go but I was pleasantly surprised at how easy this was!  I am very happy with Tresl! Thank you to Aimee Shetley, my Tresl Finance Advisor, you have made this experience easy and pleasant!",1,Positive
Steve made my refinance process easier. He made himself available at all times. Steve also provides great customer service.  Thank you Steve for all you did.,1,Positive
Great job great people very patient  and thoughtful,1,Positive
Mr. Parton was exceptional !! He was very helpful and answered any questions I had.,1,Positive
Deal process was easy and smooth.,1,Positive
Sara Edwards was very communicative and kept me informed during the entire process. Really appreciate her!,1,Positive
We just started our car pay off process through you guys. We're very grateful for all the help provided through Caroline. Thank you very much! Excellent service.,1,Positive
"John and Aaron were very helpful in getting the process started and then finished. All though there were bumps along the way, it was a good experience overall. I would recommend tresl to any of my friends.",1,Positive
Simple process. The advisors are great to work with. They make sure you have all the info you need and are quick to follow up and help with any questions you may have. Reduced my APR big time!,1,Positive
"Kim was absolutely amazing. She was helpful, informative and supportive the entire time. She was always very quick with getting things done and every time she called my day got a little better. Every problem I ran across she had an answer for. Truly a one of a kind person",1,Positive
Robert did a great job and answered all my questions,1,Positive
"Easy process and convenient, only down side was the length of time it took and not much communication on the actual process on what was going on.",1,Positive
Great service,1,Positive
I am pleased with the outcome of purchasing a vehicle with Tresl and the customer service was excellent!,1,Positive
Amazing service,1,Positive
"Very efficient, easy to navigate and expeditious",1,Positive
"Kim was great, helped cut our interest rate in half! Thank you.",1,Positive
"They were friendly, helpful, and patient.  Everything was very clearly explained and Rachel really went the extra mile to work with multiple family members joining and leaving the auto title.  Thanks Rachel S.!’",1,Positive
They were great,1,Positive
Super fast and easy every done with in 2 weeks,1,Positive
Tresl made the process of refinancing my car so quick and painless. Aaron was phenomenal!,1,Positive
"Friendly, knowledgeable, got the deal done with no hiccups!",1,Positive
Jason did a great job staying in touch with me getting everything done that I needed done. I'm very happy with the service and the timing .,1,Positive
Trisha was amazing to work with.  She was patient and detailed and got the job done!,1,Positive
Excellent help with questions and easy process refinancing.,1,Positive
Jason was very helpful and easy to work with. The only hiccup during the process (not Jason's fault) was during the application verification when another application was mistaken for mine. It was quickly corrected.,1,Positive
"Terrence was the best! He was incredibly helpful, and so kind as he helped me navigate through the craziness of buying a car. He got back to me in a timely manner, and pulled off an amazing rate for me. I am so genuinely appreciative of him and the care that was taken. So happy with my car <3",1,Positive
The whole process was professional and correctly handled. Joel was easy to work with and explained completely any items I had questions about.,1,Positive
Sara was super helpful and quick to respond to emails - I felt like a valued client and not just a number. Smooth experience.,1,Positive
Easy and quick. Very attentive and hands on help to get this completed timely.,1,Positive
"Tresl, was very helpful on getting my vehicle refinanced to get me at a better interest rate. They were efficient and without a glitch. Thanks",1,Positive
Great customer service!!! Representative was very professional. He explain the whole process of refinancing my car and got the best offer for me. Thanks,1,Positive
"Chris was absolutely amazing on assisting me in this loan process... Thank you Chris, you made this a much less frightening experience for me.",1,Positive
Mark Nosal assisted me through the whole process. He was very communicative and informative throughout the whole process. From the beginning provided me my options and has been very helpful. Interest rate lowered about 10% and monthly payments went down about $200.00. Very satisfied.,1,Positive
"Best experience ever! Customer service rep, Sara was excellent! Thanks so much",1,Positive
"I wanted to implement a buyout of my leased vehicle at the end of my lease.  Apparently Florida tries to force buyers to return to the dealer for buyouts with hefty fees. ( Legislative initiatives). The TRESL agent  was able to find a bank that could finance the buyout with attractive rates and payments within my budget and avoid the ( bogus) dealer fee.  I felt that she was truly working on my behalf.  She was responsive and followed up timely.  Even with her many ongoing loan applicants, she remained focused on my individual needs and lent that “personal rapport” to each conversation. She literally walked me through the process...a lengthy but necessary submission of documents.  The loan is secured and I am pleased to own my formerly leased vehicle!",1,Positive
Their representative Kevin Lazar made applying for a refinance my auto loan easy.  Mr. Lazar sent me a link to upload all the required documents via my smart phone.  Once the documents were received the whole process took about two weeks to complete the transaction.  Mr. Lazar kept me informed during the process of the auto refinancing with the new lender.  Mr. Lazar is friendly and professional .  I would recommend TRSL and Mr. Kevin Lazar to my friends and anyone who needs to refinance their auto loan.  Mr. Lazar told me he only send my refinance request to lenders he knows that would approve my loan.  I would highly recommend TRSL to anyone.,1,Positive
"This was my first time buying a car remotely.  The experience was good and I am not unhappy with the results.  Having been a senior level business leader for many years, I understand the effect a situation such as the current pandemic can have; however, as it has been progressing for some time, I was a bit unhappy with the time it took (and is still taking) to compete some rather simple tasks.  While my financial advisor is pleasant and easy to work with, it seemed that the time it took (and in one case is still taking) to get some answers and/or actions was a bit excessive. Sometimes, advisors need to ""bug"" his/her support team occasionally to ensure prompt action(s) are taken. But, as I stated previously, it has been a generally pleasant experience.",1,Positive
I had a chance to work with K.C. who was absolutely wonderful in explaining what she needed and my steps to complete to refinance my vehicle. Overall the transaction was easier due to her availability to me and willingness to answer any questions that I had. She also gave me a much better deal than what I previously had with santander bank which is a terrible company that does not care for their customers.,1,Positive
Pretty simple process and dropped my interest rate 7 points saving me thousands!,1,Positive
Phenomenal service. The processing of the paperwork does take time but the end result you get a car that is less than a year old and you save a bunch of money on the APR and depreciation. Highly recommend.,1,Positive
They were very helpful and very fast in getting the job done. They are also very nice and want to help you.,1,Positive
This process was quick and Tresl keep us updated thru out the whole process would recommend them to anyone.,1,Positive
"I am happy with the outstanding, professional and confidential way in which my auto was refinanced through Tresl.  Thank you to Jonathan Toader and all of the people on the Tresor team who made this interactive process a smooth one.  Thank you to Credit Karma which listed this company as an option for me to choose.",1,Positive
Kevin was very helpful! I was able to get my car refinanced to a much better rate and it was a pretty easy process. He also answered any questions that I had as well with no issue.,1,Positive
For the last 3 weeks I have not had steady communication Iv had horrible experience with my advisor he contacts me late and don’t return calls even when I call someone they put me on hold and hangs up so at this point really have given up on refinancing thru them if this is what’s it like now I can only image how else everything else will be I had that they already ran my credit which put hard inquiries on my credit,0,Negative
Steven was very considerate of my schedule. I really appreciated that...everything went so smoothly.,1,Positive
The team worked fast and did everything for me.  99 percent was done online and I was walked through it all.  I would use them again.,1,Positive
Process was seamless.,1,Positive
Juan was absolutely amazing and got us financing to keep our car! I couldn't be more thankful to him for all his work!,1,Positive
"I had a good experience with Tresl. Even when I made mistakes, they helped me resolve the problem with ease. I would absolutely recommend them.",1,Positive
"The service received starting from test drive to phone conversations with the Tresl service agent and the finance person was all very professional. They also walked me throughout the process, from testing to financing. There is one incident that I suggest needs to be improved, my first Avis vehicle scheduled test drive was cancelled on the same day. I was my way to see the vehicle then I was called less than 1 hour before the scheduled time and told that the vehicle was no longer available and had damages. Which is a good thing, but that could have been conveyed much sooner than the day of. The second time around, the other vehicle, which I did purchase, was on time at the pickup facility. I can't say whether the first incidence was a one-off, but all other services received were as expected, so thank you to the team of folks I worked with for being reliable and helpful through this process.",1,Positive
Aimee is wonderful!!!,1,Positive
Great experience with good people. Easy process and got me a much better rate.,1,Positive
Its a drawn out procedure but well worth your time.  Always responded with positive feedback .  Really great people to work with,1,Positive
Amazing customer service!,1,Positive
Super easy experience to purchase the vehicle.  Worked with their in house financing group no surprises.  One of the easiest car purchase I have made.,1,Positive
MeKayla Wheeler and Dan Reese did an excellent job.,1,Positive
Ashley did a great job answering questions and being available to help process things easily and effectively.,1,Positive
"Kevin L guided me through the purchase process!  He was great!  Kind, thorough and patient!  He secured financing that worked for our family (me and my daughter). I will use you again because of his excellent customer service!!!  Thanks Kevin!!!",1,Positive
Very helpful and very tentative. Glad I chose them!,1,Positive
Amanda was awesome! It took a little time for me to get my docs back but everything went smoothly and no car note I have to worry about this month!,1,Positive
I would definitely recommend Tresl. Markis was a great financial advisor. He was always very attentive answered all my questions and always kept me updated. He made the process a lot easier for me!,1,Positive
Tresl got me a GREAT rate compared to what I originally had and lowered my payments. Process happened quickly and we are very happy.,1,Positive
Awesome company. Robert Bills had  patience with me while I was working and trying to gather everything that I needed through my process. I would highly recommend this company.,1,Positive
Lee was very helpful! My first time refinancing a car loan and he made it really easy! Explained everything thoroughly and got back to me very quickly on any questions I had.,1,Positive
"The entire process has been ridiculously drawn out....so far its been about 3 Months and the process still isn't complete. In addition, every day I've tried to call or email someone, they're apparently off that day.",0,Negative
They were an amazing group of people to work with and a very quick process! I would recommend this 100%!,1,Positive
They helped us refinanced our car loan great guy,1,Positive
Never buy from these people again they are worse to deal with !! Bought the car in the beginning of June and didn’t get everything done until November.,0,Negative
It took some time but they made it happen,1,Positive
Easiest car buying experience ever!!!! Our adviser Sara was very helpful and answered any questions we had thoroughly and in a very timely manner. We will definitely do this again!,1,Positive
"I'm very satisfied whit the services and communication, the attention was good and timely.   Thanks for your help",1,Positive
"I first started inquiring with Tresl in July. Nobody got back to me. Then I contacted them in September and they said yeah, yeah, no big deal. Can we offer you extended warranty? Give us this paper, this and this, and we'll take care of it, so I signed the contract and another month went by, meanwhile I am still making payments to my original lender. I reached out again. This time Tresl gave me someone who actually responded. We got everything read to go, contract signed and then it they misplaced the insurance information. Then all the sudden they need ten years of employment and two personal references. I am still waiting... Edit> The loan went through. I am so happy! The manager called to make sure everything was good. I am so thankful to be out from under the high interest loan from my original finance company.",1,Positive
Had a rate change in the middle of this transaction. This prompted all the paperwork to be sent to a 2nd time. No one reached out to me before nor after the paperwork was sent a 2nd time to explain to me what was going on or why i was receiving the paperwork a 2nd time. It wasn’t until i called 3xs that i got in touch with Miram that explained what was going on. I really feel it was a break down in communication.,1,Positive
One of the most helpful people to work with always checking back even on his day off.,1,Positive
It was an easy fairly seamless process I am thankful I refinanced with Tresl. I'm happy to have reduced my interest by over 8%. I recommend using them.,1,Positive
As long as you stay on top of the paperwork everything gets handled pretty quickly. Mr Andres constantly kept in contact to let me know what was missing or what to expect next.,1,Positive
Agents are wonderful to work with. Very patient and understanding.,1,Positive
Eric was great! He answered all my questions and kept me posted each step of the way!  Eric made it easy to refinance my car! Thank you!,1,Positive
Very quick and efficient,1,Positive
I had a great experience with this company from day one all the way through to the End I would definitely recommend this company to anyone.,1,Positive
"I had a good experience dealing with my agent Don Dalton. He was patient and professional and did a good job explaining everything to me. It was extremely difficult to get through to speak to anyone whenever i called., It was very frustrating. I think you need to make it more convenient for your clients to be able to reach someone especially when they are in the midst of bringing their arrangement to fruition. Overall it was pleasant doing business with TresL",1,Positive
"Sometimes it was a bit hard to get a call back. But other than that, my agent was really good",1,Positive
I had a fantastic experience dealing with Sara! She got me exactly what I was looking for in a super quick time frame.,1,Positive
"The loan process was easy. My loan representative Jason, was very helpful. I had a great experience with this company, and would recommend this company to anyone.",1,Positive
Great experience. I have never refinanced a vehicle before and the help through the process was great. Definitely would recommend this service.,1,Positive
"The process was quick and easy. My finance advisor was friendly, professional, and quick to answer any and all questions I had. I'm very pleased and would do business with Tresl again in the future.",1,Positive
I was very pleased with my a dealing with tresl agent .,1,Positive
Caroline was very professional and super friendly.  She was very knowledgeable about the process and made sure I understood everything.  Kept in touch with me throughout the process.  Would highly recommend.,1,Positive
Amazing customer service alway on top of things and alway willing to help with any question I had,1,Positive
Robert was amazing!,1,Positive
Great experience refinancing car loan.  My advisor was readily available and helped answer questions and clarify documentation for me.  Overall very satisfied in the applying and opening of the loan process.,1,Positive
"Dan did a great job helping me refinance 2 vehicles coming off lease.  Dan was very responsive and kept me posted through the entire process.  It was very simple and straightforward transaction, completed in a timely manner.  On top of that, Dan secured a fantastic rate. Will not hesitate to use Tresl again, and would highly recommend!",1,Positive
Sarah Edwards was very patient and helpful. Great customer service!,1,Positive
Had a nice experience during our refinance. Caroline was attentive and informative during the whole process. I would highly recommend Tresl to anyone who is looking for quality financing.,1,Positive
Don offered us very Good service. Informative and professional and helpful.,1,Positive
Don Dalton was patient working with me and letting me know what I needed and getting my transaction done.,1,Positive
Fast and friendly service.,1,Positive
My experience was good. A little long of a process but hey that's financing for you. All in all good experience.,1,Positive
Nick was great with helping me out with all the refinance lingo. Made the process super simple. Great asset to the company. Thanks Nick!,1,Positive
"Is this day of faceless websites that just make you push buttons and wait i was so pleased to find real humans with real human traits. Tresl personnel are by far the best one on one over the phone company you could ask for. Hats off to the business model they have. You are not passed from person to person each time you call or are contacted. Thank you Susan and Nick. I only spoke with two people and i want to put them on my Christmas list. Nick made every step of the process so easy that i felt i wasnt doing enough. He never once faltered from any question i asked. Either he studies his job constantly or the company training is incredible.  No one likes to read long reviews so in ending....I have a car im super happy and Susan, Nick, and the Tresl business model made it all happen.",1,Positive
"Awesome, easy and painless",1,Positive
Thanks for the EXCELLENT WORK  in helping me complete my refinance,1,Positive
"Samantha was knowledgeable in what she was doing. I wasn’t able to complete paperwork electronically, but she was able to provide with necessary paperwork. All questions were answered. Returned calls promptly when I left a message.  Thank you Samantha.  Lewis White",1,Positive
They did it pretty good. A bit slow but they got it done. Also big save on money and my rate drop a ton. Thanks Tresl.,1,Positive
Quick and easy refinance. They were very patient and helpful.,1,Positive
"This is my second refi with this company. Kevin is very professional, knowledgeable and extremely pleasant to work with.  I’m very happy and will use them again and tell my friends too!",1,Positive
Great working with Sara Edwards! Made the process super easy for me and she was a pleasure to work with!,1,Positive
Very easy to work with. Excellent communication. Great job!!,1,Positive
"My loan officer was professional, quick, receptive, and very easy to work with. I lowered my payment by $110 per month and interest. Thank you D at Tresl.",1,Positive
Steve at Tresl really took care of my car refinancing!  Quick and easy service and got me a great deal!  Would definitely come back to Tresl for another refinance.,1,Positive
They were very fast with calling me back and doing paperwork. Surprisingly fast.,1,Positive
"From the 1st time I started working with my agent at Tresl, I felt that I was never left alone. I was referred to them by my auto Finance company. I was able to do everything over the phone where I had gone in to the dealership that I brought the vehicle from i had made an appointment went wasted 2 hours of my time for them to tell me they don't do that on a weekend. So Trsel worked every thing out for me before my lease was up. Thank you very much I'm Pleased with the outcome.",1,Positive
